,date,open,high,low,close,CPI,INTEREST_RATE
6504,03/11/2022,1635.07,1640.99,1616.66,1629.55,0.4,4
6505,04/11/2022,1629.06,1681.74,1628.76,1680.79,0.4,4
6506,07/11/2022,1673.84,1681.88,1666.88,1675.31,0.4,4
6507,08/11/2022,1674.67,1716.89,1664.74,1712.33,0.4,4
6508,09/11/2022,1711.68,1722.34,1702.18,1706.92,0.4,4
6509,10/11/2022,1706.28,1757.3,1703.9,1755.48,0.4,4
