epoch,loss,mean_absolute_error,mean_absolute_percentage_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_root_mean_squared_error
0,2.2370874881744385,0.8150103092193604,111.55863952636719,0.9374159574508667,2.8002161979675293,1.5573334693908691,101.86701965332031,1.5632834434509277
1,0.9602655172348022,0.8133851289749146,113.07620239257812,0.9331327080726624,2.4785499572753906,1.5654221773147583,102.40013885498047,1.571342945098877
2,0.875969648361206,0.8138856887817383,114.61407470703125,0.9321163892745972,2.5003981590270996,1.5732545852661133,102.91641998291016,1.579145908355713
3,0.8736541271209717,0.8143492937088013,116.21046447753906,0.931170642375946,2.523245096206665,1.5804909467697144,103.39344024658203,1.5863555669784546
4,0.872031569480896,0.8147392868995667,117.65791320800781,0.930318295955658,2.543663501739502,1.5870362520217896,103.82489013671875,1.5928765535354614
5,0.8706395626068115,0.8150818943977356,118.96185302734375,0.9295770525932312,2.5624372959136963,1.5929150581359863,104.21241760253906,1.5987337827682495
6,0.8694475293159485,0.8153826594352722,120.12847137451172,0.9289377927780151,2.579174041748047,1.5981800556182861,104.5594711303711,1.6039798259735107
7,0.868407130241394,0.815647542476654,121.16958618164062,0.9283852577209473,2.5943408012390137,1.6028891801834106,104.8698959350586,1.608672022819519
8,0.8675003051757812,0.8158844709396362,122.1015625,0.9279074668884277,2.6078171730041504,1.607101559638977,105.14756774902344,1.6128692626953125
9,0.8667033314704895,0.816092848777771,122.9316635131836,0.9274917840957642,2.619884967803955,1.6108708381652832,105.39603424072266,1.6166249513626099
10,0.8660074472427368,0.8162763714790344,123.67179870605469,0.9271288514137268,2.6307785511016846,1.61424720287323,105.61859893798828,1.6199895143508911
11,0.8653824925422668,0.8164377212524414,124.33163452148438,0.9268103837966919,2.640610694885254,1.6172754764556885,105.8182144165039,1.62300705909729
12,0.8648496866226196,0.8165804743766785,124.92147827148438,0.9265296459197998,2.6493747234344482,1.619995355606079,105.99750518798828,1.6257174015045166
13,0.8643901348114014,0.8167067170143127,125.4490966796875,0.9262806177139282,2.657292127609253,1.6224420070648193,106.15879821777344,1.6281553506851196
14,0.8640185594558716,0.8168177008628845,125.92113494873047,0.9260592460632324,2.6643760204315186,1.6246458292007446,106.3040542602539,1.6303513050079346
15,0.8636537790298462,0.8169155120849609,126.3447036743164,0.9258607029914856,2.6709704399108887,1.626629114151001,106.43480682373047,1.632327914237976
16,0.8633378148078918,0.8169991374015808,126.72409057617188,0.9256808757781982,2.6767168045043945,1.6283918619155884,106.5510025024414,1.6340843439102173
17,0.8630310297012329,0.8170644044876099,127.06108856201172,0.9255154132843018,2.681576728820801,1.629888653755188,106.64967346191406,1.6355760097503662
18,0.8628096580505371,0.8171522617340088,127.36930084228516,0.9254029393196106,2.6862971782684326,1.631348967552185,106.74591827392578,1.6370311975479126
19,0.8626052737236023,0.8172398209571838,127.6552505493164,0.9252957105636597,2.6910817623138428,1.6328274011611938,106.8433837890625,1.6385045051574707
