,dates,close,close_orig
6298,2022-05-02,1798.453,1813.65
6299,2022-05-03,1794.9933,1840.37
6300,2022-05-04,1819.7301,1839.47
6301,2022-05-05,1818.8987,1834.39
6302,2022-05-06,1814.2035,1843.0
6303,2022-05-09,1822.1589,1847.98
6304,2022-05-10,1826.7552,1819.47
6305,2022-05-11,1800.3906,1797.13
6306,2022-05-12,1779.6453,1791.81
6307,2022-05-13,1774.6938,1797.3
6308,2022-05-16,1779.8033,1801.03
6309,2022-05-17,1783.2551,1806.79
6310,2022-05-18,1788.6078,1804.81
6311,2022-05-19,1786.7684,1808.2
6312,2022-05-20,1789.9174,1820.49
6313,2022-05-23,1801.319,1825.97
6314,2022-05-24,1806.3954,1832.91
6315,2022-05-25,1812.8177,1826.63
6316,2022-05-26,1807.0065,1859.0
6317,2022-05-27,1836.8953,1871.35
6318,2022-05-30,1848.2555,1853.5
6319,2022-05-31,1831.8284,1869.64
6320,2022-06-01,1846.6841,1898.41
6321,2022-06-02,1873.0621,1897.46
6323,2022-06-03,1872.1932,1898.51
6324,2022-06-06,1873.1536,1909.04
6325,2022-06-07,1882.7747,1903.93
6326,2022-06-08,1878.1078,1888.71
6327,2022-06-09,1864.1835,1908.93
6328,2022-06-10,1882.6742,1945.01
6329,2022-06-13,1915.4048,1928.59
6330,2022-06-14,1900.491,1936.23
6331,2022-06-15,1907.4357,1970.46
6332,2022-06-16,1938.4312,1997.6
6333,2022-06-17,1962.8654,2049.7
6334,2022-06-20,2009.412,1991.85
6335,2022-06-21,1957.6991,1996.7
6336,2022-06-22,1962.057,1987.31
6337,2022-06-23,1953.6162,1950.72
6338,2022-06-24,1920.5804,1917.69
6339,2022-06-27,1890.5662,1926.11
6340,2022-06-28,1898.2346,1942.49
6341,2022-06-29,1913.0905,1919.98
6342,2022-06-30,1892.6244,1935.89
6343,2022-07-01,1907.0985,1921.36
6344,2022-07-04,1893.8815,1944.2
6345,2022-07-05,1914.6418,1957.59
6346,2022-07-06,1926.7722,1957.78
6347,2022-07-07,1926.9441,1922.67
6348,2022-07-08,1895.0746,1919.5
6349,2022-07-11,1892.1871,1932.64
6350,2022-07-12,1904.1451,1937.11
6351,2022-07-13,1908.2067,1924.35
6352,2022-07-14,1896.7849,1932.73
6353,2022-07-15,1904.4076,1923.43
6354,2022-07-18,1895.9474,1925.26
6355,2022-07-19,1897.6133,1931.45
6356,2022-07-20,1903.244,1946.12
6357,2022-07-21,1916.5632,1953.63
6358,2022-07-22,1923.3677,1966.48
6359,2022-07-25,1934.9886,1978.16
6360,2022-07-26,1945.5273,1973.37
6361,2022-07-27,1941.2083,1978.63
6362,2022-07-28,1945.9508,1950.12
6363,2022-07-29,1920.1886,1957.52
6364,2022-08-01,1926.8887,1951.2
6365,2022-08-02,1921.167,1930.94
6366,2022-08-03,1902.7804,1897.91
6367,2022-08-04,1872.6593,1905.17
6368,2022-08-05,1879.2952,1885.88
6369,2022-08-08,1861.6447,1894.57
6370,2022-08-09,1869.6035,1896.23
