epoch,loss,mean_absolute_error,mean_absolute_percentage_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_root_mean_squared_error
0,1.129490613937378,0.2973061800003052,532.6620483398438,0.4066757261753082,1.1542409658432007,0.5416487455368042,87.46212768554688,0.5452038049697876
1,0.8953824639320374,0.26401448249816895,7308.98779296875,0.3673018217086792,0.8872791528701782,0.4640246033668518,74.83744049072266,0.4677337110042572
2,0.6741395592689514,0.2234242558479309,27403.52734375,0.29949238896369934,0.5893720388412476,0.27941563725471497,44.89287185668945,0.28315791487693787
3,0.48128700256347656,0.17000214755535126,40482.3515625,0.20726615190505981,0.3786194324493408,0.02146364562213421,3.678380012512207,0.024990582838654518
4,0.3524431586265564,0.15804244577884674,56541.796875,0.1881825178861618,0.26463133096694946,0.015551945194602013,2.648991346359253,0.01841900870203972
5,0.24570657312870026,0.1465786248445511,66011.296875,0.17415502667427063,0.17545956373214722,0.012293871492147446,1.9383342266082764,0.014992920681834221
6,0.16502155363559723,0.136006698012352,42510.25390625,0.1633884161710739,0.11101188510656357,0.01750483736395836,2.7645304203033447,0.02007615566253662
